comments,likes,Related_to_post,Bsentiment,label
this problem of flood which i consider to be a yearly disaster has to be tacken,0,1,Supportive,Nonbullying
may god bless all and rescue all from this situation....,0,1,Supportive,Nonbullying
আল্লা পাক তুমি সবাই হেফাজত করুন,0,1,Supportive,Nonbullying
may god bless all,0,1,Supportive,Nonbullying
nirhiyo manusher upor attyachar korle  echara ki hobe,0,1,Supportive,Nonbullying
এটা nrc করার পাপের ফল,0,1,Supportive,Nonbullying
bridge beshe jawa ta assam er na ita indonesia r,0,1,Supportive,Nonbullying
amader obstha onek kharap assam basi ke help koro 😭,0,1,Supportive,Nonbullying
bhogoban shobai ke rokkha koro,0,1,Supportive,Nonbullying
manushder sange sange jibjantuderke bachanor chesta karben please 🥺🥺🥺,0,1,Supportive,Nonbullying
malta khabar porche na ki jatra korche,0,1,Supportive,Nonbullying
he pravu sobayke rokhkha koro,0,1,Supportive,Nonbullying
হিরো আলম ভাই বিগ ফ্যান,0,1,Supportive,Nonbullying
onek sondor hoiche ai vedeio tah❤️,0,1,Supportive,Nonbullying
প্রধানমন্ত্রী এখানে খারাপ কি বলেছে ভালো বলেছে ধন্যবাদ হাসিনাকে,0,1,Supportive,Nonbullying
prodhanmontri ekhane kharap ki bolche valo e to bolche dhonnobad onake ,0,1,Supportive,Nonbullying
khub vlo hoyeche ajker video ta,0,1,Supportive,Nonbullying
পুরো ফাটিয়ে দিয়েছো বস 😄😄😄 কোনো কথা হবে না🙅 🤭 ,0,1,Supportive,Nonbullying
"ok, have a relax!",0,1,Supportive,Nonbullying
nasir was a perfect breakthrough bowler,0,1,Supportive,Nonbullying
good luck,0,1,Supportive,Nonbullying
people can dream. what's so funny about it? don't you dream? we should dream because we are bengali in heart...,0,1,Supportive,Nonbullying
nasir er o national team e ferar shujog ase.,0,1,Supportive,Nonbullying
abossoi sujog ace..but tamima jodi inspiration dei tobe r ki!!!....... nasir tamimar celer hath dore seta asbe bole asa korci..,0,1,Supportive,Nonbullying
best of luck,0,1,Supportive,Nonbullying
nasir tumi thakla sure peto bangladesh..jei vabe tumi tamima ka paicho,0,1,Supportive,Nonbullying
come back to the game nasir's brother wants to see you on the field again,0,1,Supportive,Nonbullying
confident balo but over confident balo na!,0,1,Supportive,Nonbullying
ji bangladesh mhata woarld cup jetok ar tmi besanai jeteo,0,1,Supportive,Nonbullying
"তামিমাকে আমি খুব ভালোবাসি,,i love you tamima,,,but i also miss you tamima",0,1,Supportive,Nonbullying
alhamdulillah valoi korbe in shaa allah,0,1,Supportive,Nonbullying
"যে যাই বলুক, তুমিই দেশ সেরা ফিল্ডার  love u nasir",0,1,Supportive,Nonbullying
yes bhaiya,0,1,Supportive,Nonbullying
vai apni thikla hoto khala hoba suba apur sata,0,1,Supportive,Nonbullying
what a pose,0,1,Supportive,Nonbullying
nasir tor national team e khela jemon possible na temoni world cup o possible na jotodin liton er moto player team thakbe.,0,1,Supportive,Nonbullying
amin,0,1,Supportive,Nonbullying
impossible bro.,0,0,Supportive,Nonbullying
bangladesh semifinal khalba sure,0,1,Supportive,Nonbullying
onek miss kori vai apnak,0,1,Supportive,Nonbullying
insallah,0,1,Supportive,Nonbullying
"keno bhai, hasir patro hon.",0,1,Supportive,Nonbullying
vhay ata tamima apo na je ato sohoje paia jaben hala,0,1,Supportive,Nonbullying
namaj is always best,0,1,Supportive,Nonbullying
inshallah,0,1,Supportive,Nonbullying
tamima vabi bolle hoyte pare,0,1,Supportive,Nonbullying
grateful for you,0,1,Supportive,Nonbullying
nice🙂,0,1,Supportive,Nonbullying
amra to chai na o come back koruk amader taka diye ora celebrity hoichey ar shai taka diye ora natok kore 😡😡😡,0,1,Supportive,Nonbullying
god bless you ৰানু,0,1,Supportive,Nonbullying
very attitude,0,1,Supportive,Nonbullying
🙊🙊🙊🙊😁😁nice yrr,0,1,Supportive,Neutral
vai ota jutor chap wala maxi...r jdi kichu ditei hy tle onke financially ba onar treatment r bybostha korun ..besi circus dekhte gechilen ulte  ekhne vai tomdr ee chechra r joker lgche..pls stop this nonsense 🙏,0,1,Supportive,Nonbullying
didi matha thanda rakhon obar aktin valo na,0,1,Supportive,Nonbullying
"sbai mja nai,kau take susto korar chasta kore na",0,1,Supportive,Nonbullying
tomar voice ta darun,0,1,Supportive,Nonbullying
"oke niye vedio bansno chhere niye,,,oke dr dekhao",0,1,Supportive,Nonbullying
ato niche namanor ki darkar,0,1,Supportive,Nonbullying
why are you disturbing her?,0,1,Supportive,Nonbullying
oi tumi r okhane jeona,0,1,Supportive,Nonbullying
she is disturb lady she need help,0,1,Supportive,Nonbullying
nice video,0,1,Supportive,Nonbullying
movie er scene gulo darun😄😆😆😆😆dev er ta darun👏👏👏😆😆😆😆,0,1,Supportive,Nonbullying
dada ki kore felle five m view omg😱😱😱,0,0,Supportive,Nonbullying
beautiful video 😄😄😄😄😄,0,1,Supportive,Nonbullying
super 🥰🥰,0,1,Supportive,Nonbullying
nice 😂😂😂😂😂😂,0,1,Supportive,Nonbullying
dada tumi chalia jaw khub val lagche,0,1,Supportive,Nonbullying
bangladesh theke dekhsi dada 🇧🇩,0,1,Supportive,Nonbullying
khub haslam bro.....😅,0,1,Supportive,Nonbullying
