comments,process_comments,spell_correct_with_emo,spell_correct_without_emo,likes,Related_to_post,punc_number,emoji_number,abusive_word_number,positive_word_number,Bsentiment,label
khub sundor ekta natok,khub sundor ekta natok,khub sundor ekta natok,khub sundor ekta natok,2,1,0,0,0,1,Supportive,Nonbullying
tore ami sudhu ekbar chudmu magi,tore ami sudhu ekbar chudmu magi,tore ami sudhu ekbar chudmu magi,tore ami sudhu ekbar chudmu magi,0,1,0,0,0,0,Abusive,Bullying
vai ami duha korirase aponer mayer joinno allahsubhanallah thala jeno aponer mayke zannatul ferdous  nosib korun,vai ami duha korirase aponer mayer joinno allahsubhanallah thala jeno aponer mayke zannatul ferdous  nosib korun,vai ami duha korirase aponer mayer joinno allahsubhanallah thala jeno aponer mayke zannatul ferdous  nosib korun,vai ami duha korirase aponer mayer joinno allahsubhanallah thala jeno aponer mayke zannatul ferdous  nosib korun,0,1,0,0,0,0,Normal_comment,Neutral
natok to natok e ki ek natok,natok to natok e ki ek natok,natok to natok e ki ek natok,natok to natok e ki ek natok,19,1,0,0,0,0,Normal_comment,Neutral
you r looking hot kintu tui j kon desher harmi bujhte partachina ,you r looking hot kintu tui j kon desher harmi bujhte partachina ,you r looking hot kintu tui j kon desher harmi bujhte partachina,you r looking hot kintu tui j kon desher harmi bujhte partachina,9,1,0,0,0,0,Aggressive,Bullying
allah chokher pani dhore rakhte parchi,allah chokher pani dhore rakhte parchi,allah chokher pani dhore rakhte parchi,allah chokher pani dhore rakhte parchi,0,1,0,0,0,0,Sad,Nonbullying
borer choda payna to tai ato nachanachi,borer choda payna to tai ato nachanachi,borer choda payna to tai ato nachanachi,borer choda payna to tai ato nachanachi,0,1,0,0,1,0,Abusive,Bullying
তর তো ভাষা থিক হয় না আগে তর ভাষা থিক কর মাগি  ,তর তো ভাষা থিক হয় না আগে তর ভাষা থিক কর মাগি  ,তর তো ভাষা থিক হয় না আগে তর ভাষা থিক কর মাগি,তর তো ভাষা থিক হয় না আগে তর ভাষা থিক কর মাগি,0,1,0,0,1,0,Abusive,Bullying
amra ettow obujh na ....j english bujhi na🤣.....amra sob e bujhi,amra ettow obujh na j english bujhi na🤣amra sob e bujhi,amra ettow obujh na j english bujhi na🤣amra sob e bujhi,amra ettow obujh na j english bujhi naamra sob e bujhi,1,1,9,1,0,0,Normal_comment,Neutral
prodhanmontri ekhane kharap ki bolche valo e to bolche dhonnobad onake ,prodhanmontri ekhane kharap ki bolche valo e to bolche dhonnobad onake ,prodhanmontri ekhane kharap ki bolche valo e to bolche dhonnobad onake,prodhanmontri ekhane kharap ki bolche valo e to bolche dhonnobad onake,0,1,0,0,0,2,Supportive,Nonbullying
