process_comments,spell_correct_with_emo,spell_correct_without_emo,likes,Related_to_post,punc_number,emoji_number,abusive_word_number,positive_word_number,Bsentiment,label
this problem of flood which i consider to be a yearly disaster has to be tacken,this problem of flood which i consider to be a yearly disaster has to be tacken,this problem of flood which i consider to be a yearly disaster has to be tacken,0,1,5,0,0,1,Supportive,Nonbullying
may god bless all and rescue all from this situation....,may god bless all and rescue all from this situation,may god bless all and rescue all from this situation,0,1,4,0,0,2,Supportive,Nonbullying
আল্লা পাক তুমি সবাই হেফাজত করুন,আল্লা পাক তুমি সবাই হেফাজত করুন,আল্লা পাক তুমি সবাই হেফাজত করুন,0,1,0,0,0,0,Supportive,Nonbullying
may god bless all,may god bless all,may god bless all,0,1,0,0,0,2,Supportive,Nonbullying
nirhiyo manusher upor attyachar korle  echara ki hobe,nirhiyo manusher upor attyachar korle  echara ki hobe,nirhiyo manusher upor attyachar korle  echara ki hobe,0,1,0,0,3,1,Supportive,Nonbullying
এটা nrc করার পাপের ফল,এটা nrc করার পাপের ফল,এটা nrc করার পাপের ফল,0,1,0,0,0,0,Supportive,Nonbullying
bridge beshe jawa ta assam er na ita indonesia r,bridge beshe jawa ta assam ar na ita indonesia r,bridge beshe jawa ta assam ar na ita indonesia r,0,1,0,0,0,0,Supportive,Nonbullying
amader obstha onek kharap assam basi ke help koro 😭,amader obstha onek kharap assam basi ke help koro 😭,amader obstha onek kharap assam basi ke help koro ,0,1,0,1,0,1,Supportive,Nonbullying
bhogoban shobai ke rokkha koro,bhogoban shobai ke rokkha koro,bhogoban shobai ke rokkha koro,0,1,0,0,0,1,Supportive,Nonbullying
manushder sange sange jibjantuderke bachanor chesta karben please 🥺🥺🥺,manushder sange sange jibjantuderke bachanor chesta karben please 🥺🥺🥺,manushder sange sange jibjantuderke bachanor chesta karben please ,0,1,0,3,0,1,Supportive,Nonbullying
malta khabar porche na ki jatra korche,malta khabar porche na ki jatra korche,malta khabar porche na ki jatra korche,0,1,0,0,0,0,Supportive,Nonbullying
he pravu sobayke rokhkha koro,he pravu sobayke rokhkha koro,he pravu sobayke rokhkha koro,0,1,0,0,0,1,Supportive,Nonbullying
হিরো আলম ভাই বিগ ফ্যান,হিরো আলম ভাই বিগ ফ্যান,হিরো আলম ভাই বিগ ফ্যান,0,1,0,0,0,1,Supportive,Nonbullying
