comments,likes,label,Bsentiment,Related_to_post
vaiar mto neta bangladesher sob jelay thakle desher obostha ar shrilankar mto hotona,2,Neutral,Normal_comment,1
sabash ostad ! Bangldesh tomake chay imraner mto,0,Nonbullying,Supportive,1
mashrafi vai k allah rohomot korun,0,Neutral,Normal_comment,1
ai manush ta k prodhanmontri howar shujug dewa hok,0,Neutral,Normal_comment,1
ekta neta emon howa dorkar . mashrafi neta howar joggota rakhe,0,Neutral,Normal_comment,1
mashrafi vai sob boos chilen achen boos e thakben,1,Neutral,Normal_comment,1
"sarajibon valobasa thakbe, ভাই লাভ ইউ",0,Nonbullying,Supportive,1
চমৎকার ভিডিও। khub valo laglo।,2,Nonbullying,Supportive,1
sob kichu mile darun tomar kotha,3,Neutral,Normal_comment,1
onabik onabik osadharon lagche,1,Nonbullying,Supportive,1
yah allah apni sobaike bujhar towfik dan korun amin।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,1,Neutral,Normal_comment,1
emon vul hole majhe majhe anondo o lage…,0,Neutral,Normal_comment,1
ami haste haste sesh,6,Nonbullying,Happy,1
osomvob k shomvob korte pare ekmatro allahtala,2,Neutral,Normal_comment,1
ek kothay osdharon hoiche aita,3,Nonbullying,Supportive,1
khub e moja pailam,0,Nonbullying,Happy,1
"ami onek khushi aj , kichu jinish dekhte pelam",1,Nonbullying,Happy,1
sheshta valoi chile,0,Neutral,Normal_comment,1
ভাই love you,1,Nonbullying,Supportive,1
salam ভাই,1,Neutral,Normal_comment,1
moja pailam re vai,1,Nonbullying,Happy,1
moja peyechi।,1,Nonbullying,Happy,1
"Allah tumi sohay how , janoartar fashi dewa hok",0,Neutral,Aggressive,1
jonoshomukkhe fashi karjokor kora hok,3,Bullying,Aggressive,1
hottakarike jonoshomukkhe fashi dewa hok,1,Bullying,Aggressive,1
choker pani onek bar atkate chailam kintu parlamna atkate,0,Nonbullying,Sad,1
shite shundor ekti natok upohar dewar jonno dhonnobak..…,4,Nonbullying,Supportive,1
bangla natoker pashe thakar jonno shobaike dhonnobad,1,Nonbullying,Supportive,1
borka gayer mohilar ovhinoy ta darun hoiche,28,Nonbullying,Supportive,1
natok ta dekhe haste haste sesh,13,Nonbullying,Happy,1
onek shundor ekta natok,30,Nonbullying,Supportive,1
natok dekhe haste haste sesh ami,1,Nonbullying,Happy,1
"হাসতে হাসতে পেট ব্যথা হয়ে , natok ta onek sundor",82,Nonbullying,Happy,1
natok to natok e ki ek natok,19,Neutral,Normal_comment,1
depression a thaka manush der k bolchi shamim vai er natok dekhun mon valo hoye jabe,116,Neutral,Normal_comment,1
onek sundor hasi paiche natok dekhe,4,Nonbullying,Happy,1
"নাটকটা অনেক সুন্দর, besh hasir natok",1,Nonbullying,Supportive,1
ek kothay osdharon chlo ,5,Nonbullying,Supportive,1
shamim vai apni osdharon lok!!,6,Nonbullying,Supportive,1
haste haste pet betha hoye geche,1,Nonbullying,Happy,1
oi oshadharon ovinoy shamim vai  k dia e shomvob,4,Neutral,Normal_comment,1
oenk moja paichi natok ta dekhe।,4,Nonbullying,Supportive,1
oshamajik natok sustho somajer ongsho hote parena।,1,Neutral,Normal_comment,1
amader bangla natok manei binodone vorpur,3,Neutral,Normal_comment,1
khub sundor ekta natok,2,Nonbullying,Supportive,1
natok ta ek kothay osadharon,3,Nonbullying,Supportive,1
ah allah dadar kanna shojjo hocchena,61,Nonbullying,Sad,1
ekjon baba mar kache er cheye koshter kichu hoyna,17,Nonbullying,Sad,1
"bortoman juge manush jati gula k bisshash kora day,,,,,",10,Neutral,Normal_comment,1
আলহামদুলিল্লাহ এখনো অনেকটা পথ বাকি ইনশাআল্লাহ কষ্ট হোক ক্লান্ত হয়ে যাব কিন্তু থেমে থাকবো না আল্লাহ ভরসা  ,1,Nonbullying,Normal_comment,1
Valo thakar ovinoyta sotti koster😔,9,Nonbullying,Sad,1
মিথ্যা হাসি দিয়ে বলতে হয় হ্যা আমি অনেক ভালো আছি ,11,Nonbullying,Normal_comment,1
Hmm😅🖐️তার পরেও মুখে একরাশ হাসি নিয়ে বলতে হয় আমি অনেক ভালো আছি💔🫂👀,2,Nonbullying,Normal_comment,1
জিবনে কিছু করতে হলে ক্লান্ত হওয়া জাবে না bro... ,2,Nonbullying,Normal_comment,1
"ইতিহাসের সর্বশ্রেষ্ঠ নিকৃষ্টতম শিক্ষামন্ত্রী,এই নিকৃষ্ট শিক্ষা মন্ত্রী ইসলাম ধ্বংসের চরম ষড়যন্ত্র করে যাচ্ছে।",0,Bullying,Aggressive,1
তারেক জিয়া কোনো খুন করে নাই. কিন্তু আপনার নেত্রী শেখ হাসিনা খুনি ও mother of mafiya. ,3,Bullying,Aggressive,1
মানুষের জানমাল নিয়ে খেললে এবং বিশৃঙ্খলা সৃষ্টি করলে বিএনপির সাথে খেলা হবে। ,1,Bullying,Aggressive,1
কাগজ পএ বই দাম হাতের নাগালে বাহিরে সরকারের কাছে আমার দাবি উন্নয়ন করতে হলে শিক্ষা খাতে উন্নয়ন করতে হবে,0,Nonbullying,Normal_comment,1
Tomi comment Section kn off rakho apo ,0,Neutral,Normal_comment,
Amader o same obosta 😑 karo tk nai karo family permission dibe na r amra meye gang bole jaytew partechi na... . Ay karo jonno amader jawa hocche na 😤,3,Neutral,Normal_comment,
Ai situatin ar sikar amra o ,2,Neutral,Normal_comment,
