comments,process_comments,spell_correct_with_emo,spell_correct_without_emo,likes,Related_to_post,punc_number,emoji_number,abusive_word_number,positive_word_number,Bsentiment,label
vaiar mto neta bangladesher sob jelay thakle desher obostha ar shrilankar mto hotona,vaiar mto neta bangladesher sob jelay thakle desher obostha ar shrilankar mto hotona,vaiar mto neta bangladesher sob jelay thakle desher obostha ar shrilankar mto hotona,vaiar mto neta bangladesher sob jelay thakle desher obostha ar shrilankar mto hotona,2,1.0,0,0,0,0,Normal_comment,Neutral
sabash ostad ! Bangldesh tomake chay imraner mto,sabash ostad ! bangldesh tomake chay imraner mto,sabash ostad ! bangldesh tomake chay imraner mto,sabash ostad ! bangldesh tomake chay imraner mto,0,1.0,1,0,0,0,Supportive,Nonbullying
mashrafi vai k allah rohomot korun,mashrafi vai k allah rohomot korun,mashrafi vai k allah rohomot korun,mashrafi vai k allah rohomot korun,0,1.0,0,0,0,0,Normal_comment,Neutral
ai manush ta k prodhanmontri howar shujug dewa hok,ai manush ta k prodhanmontri howar shujug dewa hok,ai manush ta k prodhanmontri howar shujug dewa hok,ai manush ta k prodhanmontri howar shujug dewa hok,0,1.0,0,0,0,0,Normal_comment,Neutral
ekta neta emon howa dorkar . mashrafi neta howar joggota rakhe,ekta neta emon howa dorkar  mashrafi neta howar joggota rakhe,ekta neta emon howa dorkar  mashrafi neta howar joggota rakhe,ekta neta emon howa dorkar  mashrafi neta howar joggota rakhe,0,1.0,1,0,0,0,Normal_comment,Neutral
mashrafi vai sob boos chilen achen boos e thakben,mashrafi vai sob boos chilen achen boos e thakben,mashrafi vai sob boos chilen achen boos e thakben,mashrafi vai sob boos chilen achen boos e thakben,1,1.0,0,0,0,0,Normal_comment,Neutral
"sarajibon valobasa thakbe, ভাই লাভ ইউ",sarajibon valobasa thakbe ভাই লাভ ইউ,sarajibon valobasa thakbe ভাই লাভ ইউ,sarajibon valobasa thakbe ভাই লাভ ইউ,0,1.0,1,0,0,1,Supportive,Nonbullying
চমৎকার ভিডিও। khub valo laglo।,চমৎকার ভিডিও। khub valo laglo।,চমৎকার ভিডিও। khub valo laglo।,চমৎকার ভিডিও। khub valo laglo।,2,1.0,0,0,0,1,Supportive,Nonbullying
sob kichu mile darun tomar kotha,sob kichu mile darun tomar kotha,sob kichu mile darun tomar kotha,sob kichu mile darun tomar kotha,3,1.0,0,0,0,1,Normal_comment,Neutral
onabik onabik osadharon lagche,onabik onabik osadharon lagche,onabik onabik osadharon lagche,onabik onabik osadharon lagche,1,1.0,0,0,0,0,Supportive,Nonbullying
yah allah apni sobaike bujhar towfik dan korun amin।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,yah allah apni sobaike bujhar towfik dan korun amin।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,yah allah apni sobaike bujhar towfik dan korun amin।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,yah allah apni sobaike bujhar towfik dan korun amin।ভুল  হতেই পারে এটা নিয়ে হাসি ঠাট্টা না করাই ভালো ।,1,1.0,0,0,0,2,Normal_comment,Neutral
emon vul hole majhe majhe anondo o lage…,emon vul hole majhe majhe anondo o lage…,emon vul hole majhe majhe anondo o lage…,emon vul hole majhe majhe anondo o lage…,0,1.0,0,0,0,0,Normal_comment,Neutral
ami haste haste sesh,ami haste haste sesh,ami haste haste sesh,ami haste haste sesh,6,1.0,0,0,0,2,Happy,Nonbullying
osomvob k shomvob korte pare ekmatro allahtala,osomvob k shomvob korte pare ekmatro allahtala,osomvob k shomvob korte pare ekmatro allahtala,osomvob k shomvob korte pare ekmatro allahtala,2,1.0,0,0,0,0,Normal_comment,Neutral
